versionTrama,idRegistro,idOperador,idVehiculo,idRuta,idConductor,fechaHoraLecturaDato,fechaHoraEnvioDato,tipoBus,latitud,longitud,tipoTrama,tecnologiaMotor,tramaRetransmitida,tipoFreno,codigoEvento,peso,temperaturaCabina,estimacionOcupacionSuben,estimacionOcupacionBajan,estimacionOcupacionAbordo
E.1.0.0,22891,PB,Z374104,A601,No Disponible,2024-04-24 03:34:27.098,2024-04-24 03:34:28.317,T,4.592592,-74.181578,2,3,False,2,EV1,-1,21.0,-1,-1,-1
E.1.0.0,22922,PB,Z374104,A601,No Disponible,2024-04-24 03:39:34.617,2024-04-24 03:39:34.877,T,4.592608,-74.180964,2,3,False,2,EV1,-1,21.0,-1,-1,-1
E.1.0.0,22978,PB,Z374104,A601,No Disponible,2024-04-24 03:50:21.376,2024-04-24 03:50:21.648,T,4.592608,-74.180964,2,3,False,2,EV1,-1,22.0,-1,-1,-1
E.1.0.0,23050,PB,Z374104,A601,No Disponible,2024-04-24 04:04:23.145,2024-04-24 04:04:23.205,T,4.587344,-74.176942,2,3,False,2,EV1,-1,23.0,1,0,1
E.1.0.0,23061,PB,Z374104,A601,No Disponible,2024-04-24 04:06:00.286,2024-04-24 04:06:00.427,T,4.587761,-74.172761,2,3,False,2,EV1,-1,23.0,1,0,2
E.1.0.0,23075,PB,Z374104,A601,No Disponible,2024-04-24 04:08:37.456,2024-04-24 04:08:37.676,T,4.586850,-74.168144,2,3,False,2,EV1,-1,23.0,4,0,6
E.1.0.0,23086,PB,Z374104,A601,No Disponible,2024-04-24 04:10:17.746,2024-04-24 04:10:18.036,T,4.589281,-74.167250,2,3,False,2,EV1,-1,23.0,3,0,9
E.1.0.0,23093,PB,Z374104,A601,No Disponible,2024-04-24 04:11:07.795,2024-04-24 04:11:09.775,T,4.592131,-74.167267,2,3,False,2,EV1,-1,23.0,1,0,10
E.1.0.0,23101,PB,Z374104,A601,No Disponible,2024-04-24 04:12:04.485,2024-04-24 04:12:04.535,T,4.594328,-74.167244,2,3,False,2,EV1,-1,23.0,0,1,9
E.1.0.0,23122,PB,Z374104,A601,No Disponible,2024-04-24 04:16:13.466,2024-04-24 04:16:13.646,T,4.599642,-74.160692,2,3,False,2,EV1,-1,23.0,1,0,10
E.1.0.0,23149,PB,Z374104,A601,No Disponible,2024-04-24 04:21:29.366,2024-04-24 04:21:29.396,T,4.595142,-74.148875,2,3,False,2,EV1,-1,23.0,0,1,9
E.1.0.0,23158,PB,Z374104,A601,No Disponible,2024-04-24 04:22:57.686,2024-04-24 04:22:57.956,T,4.595433,-74.142303,2,3,False,2,EV1,-1,23.0,0,1,8
E.1.0.0,23207,PB,Z374104,A601,No Disponible,2024-04-24 04:33:14.475,2024-04-24 04:33:14.845,T,4.590336,-74.107769,2,3,False,2,EV1,-1,24.0,1,0,9
E.1.0.0,23234,PB,Z374104,A601,No Disponible,2024-04-24 04:38:57.575,2024-04-24 04:38:57.785,T,4.593006,-74.092531,2,3,False,2,EV1,-1,24.0,0,0,9
E.1.0.0,23263,PB,Z374104,A601,No Disponible,2024-04-24 04:44:42.291,2024-04-24 04:44:42.471,T,4.598811,-74.078669,2,3,False,2,EV1,-1,24.0,1,0,10
E.1.0.0,23273,PB,Z374104,A601,No Disponible,2024-04-24 04:46:18.236,2024-04-24 04:46:18.326,T,4.601511,-74.076911,2,3,False,2,EV1,-1,24.0,1,1,10
E.1.0.0,23287,PB,Z374104,A601,No Disponible,2024-04-24 04:48:57.596,2024-04-24 04:48:57.706,T,4.605825,-74.074272,2,3,False,2,EV1,-1,23.0,2,0,12
E.1.0.0,23302,PB,Z374104,A601,No Disponible,2024-04-24 04:51:09.576,2024-04-24 04:51:09.836,T,4.611619,-74.070944,2,3,False,2,EV1,-1,24.0,0,1,11
E.1.0.0,23316,PB,Z374104,A601,No Disponible,2024-04-24 04:53:48.656,2024-04-24 04:53:48.976,T,4.622925,-74.066442,2,3,False,2,EV1,-1,24.0,0,1,10
E.1.0.0,23330,PB,Z374104,A601,No Disponible,2024-04-24 04:56:06.446,2024-04-24 04:56:06.766,T,4.630869,-74.064297,2,3,False,2,EV1,-1,24.0,0,0,10
E.1.0.0,23340,PB,Z374104,A601,No Disponible,2024-04-24 04:57:49.526,2024-04-24 04:57:49.576,T,4.635536,-74.063667,2,3,False,2,EV1,-1,24.0,0,0,10
E.1.0.0,23359,PB,Z374104,A601,No Disponible,2024-04-24 05:01:32.245,2024-04-24 05:01:33.175,T,4.646975,-74.060111,2,3,False,2,EV1,-1,24.0,0,2,8
E.1.0.0,23368,PB,Z374104,A601,No Disponible,2024-04-24 05:02:52.545,2024-04-24 05:02:52.655,T,4.648444,-74.059400,2,3,False,2,EV1,-1,24.0,0,1,7
E.1.0.0,23391,PB,Z374104,A601,No Disponible,2024-04-24 05:06:32.605,2024-04-24 05:06:32.756,T,4.651511,-74.059389,2,3,False,2,EV1,-1,24.0,1,3,5
E.1.0.0,23445,PB,Z374104,H601,No Disponible,2024-04-24 05:17:30.836,2024-04-24 05:17:31.066,T,4.625856,-74.067478,2,3,False,2,EV1,-1,25.0,0,0,5
E.1.0.0,23471,PB,Z374104,H601,No Disponible,2024-04-24 05:22:28.246,2024-04-24 05:22:28.856,T,4.607669,-74.073500,2,3,False,2,EV1,-1,25.0,2,0,7
E.1.0.0,23513,PB,Z374104,H601,No Disponible,2024-04-24 05:30:55.328,2024-04-24 05:30:55.737,T,4.592767,-74.091344,2,3,False,2,EV1,-1,25.0,0,0,7
E.1.0.0,23539,PB,Z374104,H601,No Disponible,2024-04-24 05:35:52.115,2024-04-24 05:35:52.135,T,4.593017,-74.105175,2,3,False,2,EV1,-1,25.0,2,0,9
E.1.0.0,23554,PB,Z374104,H601,No Disponible,2024-04-24 05:38:26.114,2024-04-24 05:38:26.414,T,4.588836,-74.111594,2,3,False,2,EV1,-1,25.0,1,0,10
E.1.0.0,23567,PB,Z374104,H601,No Disponible,2024-04-24 05:40:56.714,2024-04-24 05:40:56.784,T,4.590192,-74.124717,2,3,False,2,EV1,-1,25.0,1,0,11
E.1.0.0,23583,PB,Z374104,H601,No Disponible,2024-04-24 05:43:20.796,2024-04-24 05:43:20.976,T,4.593808,-74.130517,2,3,False,2,EV1,-1,25.0,0,1,10
E.1.0.0,23591,PB,Z374104,H601,No Disponible,2024-04-24 05:44:24.346,2024-04-24 05:44:24.956,T,4.594522,-74.134672,2,3,False,2,EV1,-1,25.0,0,1,9
E.1.0.0,23600,PB,Z374104,H601,No Disponible,2024-04-24 05:45:54.996,2024-04-24 05:45:55.346,T,4.595781,-74.142025,2,3,False,2,EV1,-1,25.0,0,0,9
E.1.0.0,23607,PB,Z374104,H601,No Disponible,2024-04-24 05:46:43.776,2024-04-24 05:46:44.156,T,4.595414,-74.144650,2,3,False,2,EV1,-1,25.0,1,0,10
E.1.0.0,23630,PB,Z374104,H601,No Disponible,2024-04-24 05:51:00.296,2024-04-24 05:51:00.366,T,4.596356,-74.153344,2,3,False,2,EV1,-1,25.0,0,1,9
E.1.0.0,23702,PB,Z374104,H601,No Disponible,2024-04-24 06:06:29.146,2024-04-24 06:06:29.286,T,4.594642,-74.176728,2,3,False,2,EV1,-1,26.0,0,0,9
E.1.0.0,23716,PB,Z374104,H601,No Disponible,2024-04-24 06:08:50.296,2024-04-24 06:08:50.506,T,4.592400,-74.180433,2,3,False,2,EV1,-1,25.0,0,0,9
E.1.0.0,23908,PB,Z374104,A601,No Disponible,2024-04-24 06:52:02.567,2024-04-24 06:52:03.117,T,4.590094,-74.180931,2,3,False,2,EV1,-1,27.0,1,0,1
E.1.0.0,23928,PB,Z374104,A601,No Disponible,2024-04-24 06:55:55.816,2024-04-24 06:55:56.776,T,4.587433,-74.174906,2,3,False,2,EV1,-1,27.0,1,0,2
E.1.0.0,23939,PB,Z374104,A601,No Disponible,2024-04-24 06:57:36.226,2024-04-24 06:57:36.266,T,4.587794,-74.172764,2,3,False,2,EV1,-1,27.0,5,0,7
E.1.0.0,23956,PB,Z374104,A601,No Disponible,2024-04-24 07:00:30.416,2024-04-24 07:00:30.836,T,4.586975,-74.167806,2,3,False,2,EV1,-1,26.0,4,0,11
E.1.0.0,23972,PB,Z374104,A601,No Disponible,2024-04-24 07:03:17.106,2024-04-24 07:03:17.196,T,4.589578,-74.167297,2,3,False,2,EV1,-1,26.0,3,0,14
E.1.0.0,23982,PB,Z374104,A601,No Disponible,2024-04-24 07:04:48.646,2024-04-24 07:04:48.726,T,4.594328,-74.167292,2,3,False,2,EV1,-1,26.0,0,1,13
E.1.0.0,24003,PB,Z374104,A601,No Disponible,2024-04-24 07:08:55.796,2024-04-24 07:08:55.806,T,4.597361,-74.162031,2,3,False,2,EV1,-1,26.0,0,1,12
E.1.0.0,24014,PB,Z374104,A601,No Disponible,2024-04-24 07:10:33.536,2024-04-24 07:10:33.556,T,4.599628,-74.160711,2,3,False,2,EV1,-1,26.0,1,0,13
E.1.0.0,24022,PB,Z374104,A601,No Disponible,2024-04-24 07:11:26.776,2024-04-24 07:11:26.866,T,4.599717,-74.158681,2,3,False,2,EV1,-1,26.0,1,0,14
E.1.0.0,24028,PB,Z374104,A601,No Disponible,2024-04-24 07:12:03.556,2024-04-24 07:12:03.646,T,4.599750,-74.157644,2,3,False,2,EV1,-1,26.0,1,0,15
E.1.0.0,24069,PB,Z374104,A601,No Disponible,2024-04-24 07:20:17.518,2024-04-24 07:20:17.788,T,4.595092,-74.148528,2,3,False,2,EV1,-1,26.0,0,1,14
E.1.0.0,24079,PB,Z374104,A601,No Disponible,2024-04-24 07:21:49.618,2024-04-24 07:21:49.688,T,4.595153,-74.144981,2,3,False,2,EV1,-1,26.0,3,0,17
E.1.0.0,24089,PB,Z374104,A601,No Disponible,2024-04-24 07:23:13.288,2024-04-24 07:23:13.378,T,4.595381,-74.142936,2,3,False,2,EV1,-1,27.0,3,0,20
E.1.0.0,24150,PB,Z374104,A601,No Disponible,2024-04-24 07:35:57.622,2024-04-24 07:35:58.402,T,4.594111,-74.134317,2,3,False,2,EV1,-1,27.0,4,0,24
E.1.0.0,24162,PB,Z374104,A601,No Disponible,2024-04-24 07:37:41.812,2024-04-24 07:37:41.973,T,4.592561,-74.128103,2,3,False,2,EV1,-1,27.0,6,0,30
E.1.0.0,24174,PB,Z374104,A601,No Disponible,2024-04-24 07:39:42.436,2024-04-24 07:39:42.626,T,4.589811,-74.124503,2,3,False,2,EV1,-1,27.0,4,0,34
E.1.0.0,24182,PB,Z374104,A601,No Disponible,2024-04-24 07:40:52.246,2024-04-24 07:40:52.556,T,4.589136,-74.119869,2,3,False,2,EV1,-1,27.0,0,0,34
E.1.0.0,24194,PB,Z374104,A601,No Disponible,2024-04-24 07:42:55.636,2024-04-24 07:42:55.886,T,4.588353,-74.116353,2,3,False,2,EV1,-1,27.0,4,0,38
E.1.0.0,24210,PB,Z374104,A601,No Disponible,2024-04-24 07:45:23.626,2024-04-24 07:45:23.656,T,4.588700,-74.111850,2,3,False,2,EV1,-1,27.0,2,0,40
E.1.0.0,24236,PB,Z374104,A601,No Disponible,2024-04-24 07:50:09.016,2024-04-24 07:50:09.666,T,4.589867,-74.108303,2,3,False,2,EV1,-1,28.0,0,1,39
E.1.0.0,24267,PB,Z374104,A601,No Disponible,2024-04-24 07:56:26.146,2024-04-24 07:56:26.166,T,4.594608,-74.098169,2,3,False,2,EV1,-1,28.0,2,1,40
E.1.0.0,24288,PB,Z374104,A601,No Disponible,2024-04-24 08:00:16.026,2024-04-24 08:00:16.276,T,4.593592,-74.094703,2,3,False,2,EV1,-1,28.0,0,1,39
E.1.0.0,24297,PB,Z374104,A601,No Disponible,2024-04-24 08:01:38.256,2024-04-24 08:01:38.496,T,4.592200,-74.089944,2,3,False,2,EV1,-1,28.0,0,2,37
E.1.0.0,24306,PB,Z374104,A601,No Disponible,2024-04-24 08:02:51.376,2024-04-24 08:02:51.476,T,4.590508,-74.086908,2,3,False,2,EV1,-1,28.0,0,1,36
E.1.0.0,24312,PB,Z374104,A601,No Disponible,2024-04-24 08:03:28.156,2024-04-24 08:03:28.286,T,4.589539,-74.085281,2,3,False,2,EV1,-1,28.0,0,0,36
E.1.0.0,24340,PB,Z374104,A601,No Disponible,2024-04-24 08:08:43.726,2024-04-24 08:08:44.146,T,4.593444,-74.082047,2,3,False,2,EV1,-1,28.0,0,1,35
E.1.0.0,24364,PB,Z374104,A601,No Disponible,2024-04-24 08:13:10.796,2024-04-24 08:13:11.266,T,4.596311,-74.080228,2,3,False,2,EV1,-1,28.0,0,1,34
E.1.0.0,24384,PB,Z374104,A601,No Disponible,2024-04-24 08:16:49.116,2024-04-24 08:16:49.286,T,4.598869,-74.078675,2,3,False,2,EV1,-1,28.0,0,10,24
E.1.0.0,24403,PB,Z374104,A601,No Disponible,2024-04-24 08:20:09.766,2024-04-24 08:20:10.006,T,4.604178,-74.075325,2,3,False,2,EV1,-1,27.0,0,3,21
E.1.0.0,24451,PB,Z374104,A601,No Disponible,2024-04-24 08:30:17.810,2024-04-24 08:30:18.810,T,4.608878,-74.072556,2,3,False,2,EV1,-1,27.0,1,0,22
E.1.0.0,24494,PB,Z374104,A601,No Disponible,2024-04-24 08:38:34.515,2024-04-24 08:38:34.966,T,4.619003,-74.068000,2,3,False,2,EV1,-1,27.0,0,1,21
E.1.0.0,24515,PB,Z374104,A601,No Disponible,2024-04-24 08:42:31.326,2024-04-24 08:42:31.936,T,4.627689,-74.065272,2,3,False,2,EV1,-1,27.0,0,0,21
E.1.0.0,24535,PB,Z374104,A601,No Disponible,2024-04-24 08:46:18.557,2024-04-24 08:46:19.167,T,4.633461,-74.063778,2,3,False,2,EV1,-1,27.0,0,1,20
E.1.0.0,24556,PB,Z374104,A601,No Disponible,2024-04-24 08:50:00.626,2024-04-24 08:50:00.687,T,4.642633,-74.061989,2,3,False,2,EV1,-1,28.0,0,0,20
E.1.0.0,24574,PB,Z374104,A601,No Disponible,2024-04-24 08:53:36.784,2024-04-24 08:53:37.245,T,4.648589,-74.058094,2,3,False,2,EV1,-1,28.0,0,1,19
E.1.0.0,24582,PB,Z374104,A601,No Disponible,2024-04-24 08:54:24.276,2024-04-24 08:54:24.355,T,4.649514,-74.057253,2,3,False,2,EV1,-1,28.0,0,1,18
E.1.0.0,24641,PB,Z374104,H601,No Disponible,2024-04-24 09:05:48.675,2024-04-24 09:05:48.885,T,4.644411,-74.064397,2,3,False,2,EV1,-1,28.0,1,0,19
E.1.0.0,24651,PB,Z374104,H601,No Disponible,2024-04-24 09:07:01.757,2024-04-24 09:07:02.026,T,4.641939,-74.064817,2,3,False,2,EV1,-1,28.0,3,0,22
E.1.0.0,24684,PB,Z374104,H601,No Disponible,2024-04-24 09:13:42.786,2024-04-24 09:13:43.136,T,4.626528,-74.067375,2,3,False,2,EV1,-1,28.0,2,0,24
E.1.0.0,24709,PB,Z374104,H601,No Disponible,2024-04-24 09:18:55.022,2024-04-24 09:18:55.061,T,4.614967,-74.070392,2,3,False,2,EV1,-1,28.0,0,0,24
E.1.0.0,24743,PB,Z374104,H601,No Disponible,2024-04-24 09:25:37.468,2024-04-24 09:25:37.947,T,4.603528,-74.075964,2,3,False,2,EV1,-1,28.0,0,3,21
E.1.0.0,24810,PB,Z374104,H601,No Disponible,2024-04-24 09:39:22.326,2024-04-24 09:39:22.496,T,4.593478,-74.093856,2,3,False,2,EV1,-1,28.0,2,1,22
E.1.0.0,24844,PB,Z374104,H601,No Disponible,2024-04-24 09:46:21.046,2024-04-24 09:46:21.256,T,4.589344,-74.109058,2,3,False,2,EV1,-1,28.0,1,0,23
E.1.0.0,24853,PB,Z374104,H601,No Disponible,2024-04-24 09:47:57.186,2024-04-24 09:47:57.296,T,4.588675,-74.114097,2,3,False,2,EV1,-1,28.0,2,0,25
E.1.0.0,24864,PB,Z374104,H601,No Disponible,2024-04-24 09:49:38.136,2024-04-24 09:49:38.266,T,4.588650,-74.117064,2,3,False,2,EV1,-1,29.0,0,1,24
E.1.0.0,24877,PB,Z374104,H601,No Disponible,2024-04-24 09:51:50.866,2024-04-24 09:51:51.036,T,4.590153,-74.124708,2,3,False,2,EV1,-1,29.0,1,0,25
E.1.0.0,24883,PB,Z374104,H601,No Disponible,2024-04-24 09:52:32.076,2024-04-24 09:52:32.228,T,4.591622,-74.126589,2,3,False,2,EV1,-1,29.0,0,1,24
E.1.0.0,24899,PB,Z374104,H601,No Disponible,2024-04-24 09:55:26.756,2024-04-24 09:55:26.916,T,4.594553,-74.134844,2,3,False,2,EV1,-1,29.0,1,0,25
E.1.0.0,24911,PB,Z374104,H601,No Disponible,2024-04-24 09:57:31.506,2024-04-24 09:57:32.566,T,4.595475,-74.144461,2,3,False,2,EV1,-1,29.0,2,0,27
E.1.0.0,24920,PB,Z374104,H601,No Disponible,2024-04-24 09:58:55.696,2024-04-24 09:58:55.796,T,4.595353,-74.148153,2,3,False,2,EV1,-1,29.0,3,0,30
E.1.0.0,24936,PB,Z374104,H601,No Disponible,2024-04-24 10:01:55.616,2024-04-24 10:01:56.746,T,4.596444,-74.153433,2,3,False,2,EV1,-1,29.0,2,0,32
E.1.0.0,24946,PB,Z374104,H601,No Disponible,2024-04-24 10:03:10.146,2024-04-24 10:03:10.756,T,4.599703,-74.154364,2,3,False,2,EV1,-1,29.0,2,0,34
E.1.0.0,24955,PB,Z374104,H601,No Disponible,2024-04-24 10:04:25.426,2024-04-24 10:04:25.536,T,4.599869,-74.157906,2,3,False,2,EV1,-1,29.0,0,2,32
E.1.0.0,24964,PB,Z374104,H601,No Disponible,2024-04-24 10:05:46.776,2024-04-24 10:05:46.936,T,4.599797,-74.160922,2,3,False,2,EV1,-1,29.0,0,2,30
E.1.0.0,25036,PB,Z374104,H601,No Disponible,2024-04-24 10:19:51.666,2024-04-24 10:19:51.937,T,4.589178,-74.162578,2,3,False,2,EV1,-1,29.0,1,2,29
E.1.0.0,25051,PB,Z374104,H601,No Disponible,2024-04-24 10:22:35.426,2024-04-24 10:22:35.666,T,4.588214,-74.165692,2,3,False,2,EV1,-1,30.0,0,2,27
E.1.0.0,25067,PB,Z374104,H601,No Disponible,2024-04-24 10:25:37.546,2024-04-24 10:25:37.636,T,4.587269,-74.170611,2,3,False,2,EV1,-1,30.0,0,1,26
E.1.0.0,25075,PB,Z374104,H601,No Disponible,2024-04-24 10:26:31.466,2024-04-24 10:26:31.737,T,4.588286,-74.172733,2,3,False,2,EV1,-1,29.0,0,1,25
E.1.0.0,25096,PB,Z374104,DES,No Disponible,2024-04-24 10:30:00.456,2024-04-24 10:30:01.067,T,4.594528,-74.174444,2,3,False,2,EV1,-1,29.0,0,0,25
E.1.0.0,25141,PB,Z374104,A601,No Disponible,2024-04-24 10:39:00.306,2024-04-24 10:39:00.506,T,4.592658,-74.181067,2,3,False,2,EV1,-1,29.0,-1,-1,-1
E.1.0.0,25179,PB,Z374104,A601,No Disponible,2024-04-24 10:46:15.213,2024-04-24 10:46:15.573,T,4.587325,-74.176964,2,3,False,2,EV1,-1,30.0,6,0,6
E.1.0.0,25188,PB,Z374104,A601,No Disponible,2024-04-24 10:47:22.563,2024-04-24 10:47:22.713,T,4.587461,-74.175044,2,3,False,2,EV1,-1,31.0,1,0,7
E.1.0.0,25196,PB,Z374104,A601,No Disponible,2024-04-24 10:48:32.504,2024-04-24 10:48:32.744,T,4.587808,-74.172678,2,3,False,2,EV1,-1,31.0,5,0,12
E.1.0.0,25212,PB,Z374104,A601,No Disponible,2024-04-24 10:51:03.654,2024-04-24 10:51:04.274,T,4.587036,-74.167619,2,3,False,2,EV1,-1,31.0,9,0,21
E.1.0.0,25226,PB,Z374104,A601,No Disponible,2024-04-24 10:53:21.236,2024-04-24 10:53:21.726,T,4.589244,-74.167286,2,3,False,2,EV1,-1,31.0,4,0,25
E.1.0.0,25233,PB,Z374104,A601,No Disponible,2024-04-24 10:54:11.356,2024-04-24 10:54:11.936,T,4.592261,-74.167275,2,3,False,2,EV1,-1,31.0,0,0,25
E.1.0.0,25246,PB,Z374104,A601,No Disponible,2024-04-24 10:56:28.546,2024-04-24 10:56:28.766,T,4.595611,-74.166061,2,3,False,2,EV1,-1,32.0,0,1,24
E.1.0.0,25260,PB,Z374104,A601,No Disponible,2024-04-24 10:58:51.246,2024-04-24 10:58:51.746,T,4.597875,-74.162092,2,3,False,2,EV1,-1,32.0,0,2,22
E.1.0.0,25275,PB,Z374104,A601,No Disponible,2024-04-24 11:01:03.446,2024-04-24 11:01:03.676,T,4.599639,-74.160783,2,3,False,2,EV1,-1,32.0,5,2,25
E.1.0.0,25280,PB,Z374104,A601,No Disponible,2024-04-24 11:01:50.406,2024-04-24 11:01:50.786,T,4.599753,-74.158631,2,3,False,2,EV1,-1,32.0,0,1,24
E.1.0.0,25295,PB,Z374104,A601,No Disponible,2024-04-24 11:04:16.476,2024-04-24 11:04:17.006,T,4.598658,-74.154178,2,3,False,2,EV1,-1,32.0,1,2,23
E.1.0.0,25313,PB,Z374104,A601,No Disponible,2024-04-24 11:07:36.696,2024-04-24 11:07:36.976,T,4.595111,-74.148506,2,3,False,2,EV1,-1,33.0,1,0,24
E.1.0.0,25326,PB,Z374104,A601,No Disponible,2024-04-24 11:09:48.056,2024-04-24 11:09:48.436,T,4.595269,-74.144494,2,3,False,2,EV1,-1,33.0,5,3,26
E.1.0.0,25333,PB,Z374104,A601,No Disponible,2024-04-24 11:10:32.666,2024-04-24 11:10:32.976,T,4.595478,-74.142253,2,3,False,2,EV1,-1,33.0,2,0,28
E.1.0.0,25373,PB,Z374104,A601,No Disponible,2024-04-24 11:18:36.213,2024-04-24 11:18:36.243,T,4.594211,-74.134842,2,3,False,2,EV1,-1,32.0,5,1,32
E.1.0.0,25384,PB,Z374104,A601,No Disponible,2024-04-24 11:20:06.203,2024-04-24 11:20:06.813,T,4.592500,-74.127933,2,3,False,2,EV1,-1,33.0,0,2,30
E.1.0.0,25393,PB,Z374104,A601,No Disponible,2024-04-24 11:21:20.705,2024-04-24 11:21:21.164,T,4.590881,-74.125867,2,3,False,2,EV1,-1,33.0,0,0,30
E.1.0.0,25400,PB,Z374104,A601,No Disponible,2024-04-24 11:22:12.303,2024-04-24 11:22:12.693,T,4.589772,-74.124367,2,3,False,2,EV1,-1,33.0,3,1,32
E.1.0.0,25414,PB,Z374104,A601,No Disponible,2024-04-24 11:24:52.346,2024-04-24 11:24:52.366,T,4.588361,-74.116308,2,3,False,2,EV1,-1,33.0,5,1,36
E.1.0.0,25429,PB,Z374104,A601,No Disponible,2024-04-24 11:27:16.216,2024-04-24 11:27:16.576,T,4.588644,-74.112367,2,3,False,2,EV1,-1,33.0,2,2,36
E.1.0.0,25444,PB,Z374104,A601,No Disponible,2024-04-24 11:29:56.316,2024-04-24 11:29:56.386,T,4.590086,-74.108078,2,3,False,2,EV1,-1,33.0,1,2,35
E.1.0.0,25463,PB,Z374104,A601,No Disponible,2024-04-24 11:33:04.316,2024-04-24 11:33:04.816,T,4.592775,-74.105278,2,3,False,2,EV1,-1,34.0,7,3,39
E.1.0.0,25471,PB,Z374104,A601,No Disponible,2024-04-24 11:34:03.446,2024-04-24 11:34:03.766,T,4.594050,-74.103881,2,3,False,2,EV1,-1,34.0,2,2,39
E.1.0.0,25479,PB,Z374104,A601,No Disponible,2024-04-24 11:35:01.366,2024-04-24 11:35:02.246,T,4.594942,-74.100103,2,3,False,2,EV1,-1,34.0,0,0,39
E.1.0.0,25486,PB,Z374104,A601,No Disponible,2024-04-24 11:35:59.066,2024-04-24 11:35:59.976,T,4.594583,-74.097931,2,3,False,2,EV1,-1,34.0,1,2,38
